slug|title|summary|description|norm_low|norm_mid|norm_high|below|normal|above|prep|tags
calcium|Кальций общий|Минерал для костей и нервов.|Высокий/низкий — влияет на сердце/кости.|<2.15 mmol/L|2.15–2.55 mmol/L|>2.75 mmol/L|Низкий — паралич, судороги; высокий — камни.|Норма — достаточный кальциевый баланс.|Повышение — гиперкальциемия, опасна.|Натощак предпочтителен.|кальций,минералы
magnesium|Магний|Минерал для сердца и мышц.|Дефицит — аритмии, мышечные судороги.|<0.7 mmol/L|0.7–1.1 mmol/L|>1.2 mmol/L|Дефицит — судороги, слабость.|Норма — стабильная функция.|Избыток — редок; кардиальные эффекты.|Не требует натощак.|магний,минералы
sodium|Натрий (Na)|Электролит водно-электролитного баланса.|Изменение натрия влияет на ЦНС.|<135 mmol/L|135–145 mmol/L|>150 mmol/L|Гипонатриемия — спутанность, судороги.|Норма — электролитный баланс.|Гипернатриемия — дегидратация, опасна.|Не требует натощак.|натрий,электролиты
potassium|Калий (K)|Критически важен для сердца.|Отклонения — аритмии, слабость.|<3.5 mmol/L|3.5–5.0 mmol/L|>6.0 mmol/L|Гипокалиемия — слабость, аритмии.|Норма — безопасный диапазон.|Гиперкалиемия — угроза сердечной проводимости.|Избегать физнагрузки перед сдачей.|калий,электролиты
chloride|Хлориды (Cl)|Поддерживают кислотно-щелочной баланс.|Отклонения редко — сопутствуют Na/K.|<98 mmol/L|98–107 mmol/L|>115 mmol/L|Может сопровождать ацидоз/алкалоз.|Норма — стабильный баланс.|Повышение/понижение — следствие нарушения баланса.|Подготовка не специфична.|хлориды,электролиты
pt_inr|Протромбиновое время / INR|Оценивает свёртываемость и контроль антикоагулянтов.|INR важен у пациентов на варфарине.|INR<0.8|INR0.9–1.2|INR>3.0|Низкий — риск тромбоза при терапии.|Норма — нормальное свёртывание.|Высокий — риск кровотечений; нужен контроль.|Не прекращайте лекарства без указания врача.|coagulation,ptinr
d_dimer|D-димер|Маркер тромбообразования/фибринолиза.|Помогает исключать тромбоз при низком клиническом риске.|<500 ng/mL FEU|<500 ng/mL FEU|>1000 ng/mL FEU|Низкие значения — маловероятен ТВЭЛ|Норма — низкие уровни.|Высокие — возможен тромбоз/тромбоэмболия.|По направлению; не натощак критично.|d_dimer,коагуляция
troponin_i|Тропонин I|Кардиальный маркер при инфаркте миокарда.|Тропонин повышается при повреждении миокарда.|<0.04 ng/mL|<0.04 ng/mL|>0.40 ng/mL|Низкие значения — нет повреждения сердца.|Норма — отрицательный маркер.|Высокие — острый инфаркт; срочно к врачу.|Сдаётся по направлению; указать время симптомов.|тропонин,сердце
ck_mb|CK-MB|Кардиальный фермент (реже используется рутинно).|Помогает при подозрении на ИМ.|<5 ng/mL|<5 ng/mL|>25 ng/mL|Норма — редко повышен.|Норма — низкий уровень.|Повышение — повреждение сердца.|По назначению врача.|ck_mb,сердце
troponin_t|Тропонин T|Альтернативный кардиальный маркер.|Сильный индикатор повреждения миокарда.|<0.01 ng/mL|<0.01 ng/mL|>0.10 ng/mL|Низкие — без повреждения.|Норма — отрицательный.|Высокие — подозрение на инфаркт.|По симптомам и по назначению.|тропонин,сердце
psa|PSA (простат-специфический антиген)|Скрининг простаты и мониторинг РПЖ.|Повышение требует урологического обследования.|>4.0 ng/mL|<4.0 ng/mL|>10.0 ng/mL|Высокий — риск заболевания простаты.|Норма — обычно низкий.|Очень высокий — подозрение на рак простаты.|Избегать половой активности за 48 ч.|psa,простата
hbsag|HBsAg (гепатит B)|Скрининг на вирус гепатита B.|Положительный — активная инфекция или носительство.|положительный|отрицательный|положительный|Положительный — инфекция; требуется врачи.|Отрицательный — отсутствие антигена.|Положительный — нуждается в ПЦР и консультации.|Не требует подготовки.|hepatitis_b,hbsag
hcv_ab|Антитела к HCV|Скрининг на вирусный гепатит C.|Положительный требует ПЦР для подтверждения.|положительный|отрицательный|положительный|Положительный — требуется ПЦР и консультация.|Отрицательный — отсутствие антител.|Положительный — возможная хроническая инфекция.|Не требует подготовки.|hepatitis_c,hcv
hiv_ab|Антитела к HIV|Скрининг на ВИЧ-инфекцию.|Положительный — требует подтверждения PCR/Western blot.|положительный|отрицательный|положительный|Положительный — нужно срочное подтверждение и консультация.|Отрицательный — отсутствие антител.|Положительный — дальнейшая диагностика.|Соблюдать конфиденциальность; не натощак не критично.|hiv,инфекции
urine_routine|Общий анализ мочи (ОАМ)|Физико-химические и микроскопические показатели мочи.|ОАМ: цвет, удельный вес, белок, лейкоциты, эритроциты.|положительный|норма|положительный|Белок/лейкоциты — возможно воспаление/инфекция.|Норма — прозрачная, без белка.|Присутствие — инфекция/почки; дообследование.|Утренняя средняя порция; гигиена.|oam,моча
urine_culture|Посев мочи|Определяет бактерии и антибиотикочувствительность.|Для подтверждения ИМП и подбора терапии.|положительный|отрицательный|положительный|Положительный — инфекция; назначение антибиотика.|Отрицательный — отсутствие бактериурии.|Положительный — требуется антибиотикограмма.|Средняя утренняя порция, стерильная ёмкость.|посев,микробиология
stool_occult|Скрытая кровь в кале (FOBT)|Скрининг на кровопотери ЖКТ.|Положительный требует колоноскопии для выяснения причин.|положительный|отрицательный|положительный|Положительный — возможен рак или язва.|Норма — нет крови.|Положительный — срочная диагностика.|Следовать инструкциям набора теста.|fobt,кал
stool_ova|Копрологическое исследование (яйца/цисты)|Ищут паразитов в кале.|Наличие яиц/цист требует лечения.|положительный|отрицательный|положительный|Положительный — паразитарная инфекция.|Отрицательный — не обнаружено.|Положительный — лечение и санация.|Свежий кал в чистой ёмкости.|паразиты,кал
fecal_calprotectin|Кальпротектин фекалий|Маркер воспаления кишечника.|Высокие значения при воспалительных заболеваниях кишечника.|>50 µg/g|<50 µg/g|>200 µg/g|Высокие — ВКБ, болезнь Крона.|Норма — низкий уровень.|Очень высокие — активное воспаление.|Обычно не натощак; по назначению.|кал,воспаление
lipase|Липаза|Специфичный маркер поджелудочной железы.|Повышение при панкреатите.|<160 U/L|<160 U/L|>1000 U/L|Норма — низкие значения.|Норма — редко повышен.|Высокие — острый панкреатит.|Натощак предпочтителен.|липаза,панкреатит
amylase|Амилаза|Фермент поджелудочной/слюнных желёз.|Повышение при панкреатите и слюнных заболеваниях.|<110 U/L|30–110 U/L|>400 U/L|Норма — низкие значения.|Норма — нормальная активность.|Высокие — панкреатит или паротит.|Натощак предпочтителен.|амилаза,панкреатит
insulin|Инсулин|Исследуется при подозрении на инсулинрезистентность.|Инсулин натощак и OGTT помогают оценить метаболизм.|<2 µIU/mL|2–25 µIU/mL|>25 µIU/mL|Низкий — редкая эндокринная патология.|Норма — адекватная секреция.|Высокий — инсулинрезистентность.|Натощак; может потребоваться нагрузочный тест.|инсулин,диабет
cortisol|Кортизол|Гормон стресса; суточные колебания.|Отклонения при синдроме Кушинга/аддисона.|М:утром<5 µg/dL|М:утром~5–25 µg/dL|М:утром>25 µg/dL|Низкий — надпочечниковая недостаточность.|Норма — суточный профиль.|Высокий — синдром Кушинга.|Указывать время забора; натощак утром.|кортизол,гормоны
tsh|TSH|Скрининг функции щитовидной железы.|TSH: чувствительный тест на гипо/гипертиреоз.|>4.5 mIU/L|0.4–4.0 mIU/L|<0.1 mIU/L|Высокий TSH — гипотиреоз.|Норма — нормальная функция щитовидки.|Низкий — гипертиреоз.|Сдавать утром; сообщите лекарства.|tsh,щитовидка
free_t4|Свободный T4|Активная фракция тироксина.|Важен при интерпретации TSH.|<10 pmol/L|10–23 pmol/L|>30 pmol/L|Низкий — гипотиреоз.|Норма — адекватный гормональный уровень.|Высокий — гипертиреоз.|Сдавать с TSH; утром предпочтительно.|ft4,щитовидка
anti_tpo|Антитела к ТПО|Маркер аутоиммунного тиреоидита.|Положительные антитела указывают на аутоиммунность.|положительный|отрицательный|положительный|Положительный — аутоиммунный тиреоидит.|Отрицательный — отсутствие антител.|Положительный — наблюдение, лечение.|Не требует натощак.|anti_tpo,аутоиммунитет
hba|Гемоглобин A (замена)|(служебная строка)ред.|(служебное поле)|-| -| -| -| -| -| -|служебное
vitamin_b1|Витамин B1 (тиамин)|Минерал для нервной системы.|Дефицит — берибери и неврологические симптомы.|<20 nmol/L|20–100 nmol/L|>100 nmol/L|Дефицит — неврологические проявления.|Норма — адекватный уровень.|Высокие — редко клинически значимы.|Не требует подготовки.|vit_b1,витамины
vitamin_b6|Витамин B6|Участвует в метаболизме аминокислот.|Дефицит — неврологические симптомы.|<20 nmol/L|20–125 nmol/L|>125 nmol/L|Дефицит — неврологические нарушения.|Норма — достаточный уровень.|Избыток — периферическая нейропатия.|Не требует подготовки.|vit_b6,витамины
vitamin_a|Витамин A|Жирорастворимый витамин для зрения.|Дефицит — куриная слепота; избыток — токсичность.|<0.7 µmol/L|0.7–3.0 µmol/L|>3.5 µmol/L|Дефицит — нарушение зрения; иммунитет.|Норма — достаточный запас.|Избыток — тошнота, головные боли.|Уточнять у врача при беременности.|vitamin_a,витамины
vitamin_e|Витамин E|Антиоксидант, влияет на нейроны.|Дефицит редок; симптомы — нейропатия.|<5 µg/mL|5–20 µg/mL|>20 µg/mL|Низкий — риск нейропатии.|Норма — достаточный антиоксидантный статус.|Высокие — редко проблематично.|Не требует подготовки.|vitamin_e,витамины
fsh|FSH|Репродуктивный гормон для оценки фертильности.|Значения зависят от пола и фазы цикла.|M:<1.5 IU/L;F: follicular<10|M:1.5–12;F:follicular10–20|M:>20;F: >40|Низкий — гипогонадизм.|Норма — нормальная репродуктивная функция.|Высокий — менопауза/яичниковая недостаточность.|Указывать день цикла.|fsh,гормоны
lh|LH|Гормон овуляции и мужской функции.|LH: оценивается вместе с FSH.|M:<2 IU/L;F: follicular<10|M:2–12;F:10–20|M:>20;F:>40|Низкий — гипогонадизм.|Норма — синхронная функция.|Высокий — менопауза/поликистоз.|Указывать фазу цикла.|lh,гормоны
estradiol|Эстрадиол|Женский половой гормон; зависит от цикла.|Уровни меняются по фазам цикла (указать день).|M:<50 pg/mL;F:var|F:follicular 20–150 pg/mL|F:ovulatory>200 pg/mL|Низкие у женщин — гипоэстрогения.|Норма зависит от фазы цикла.|Высокие — опухолевые процессы (редко).|Указывать день цикла.|эстрадиол,гормоны
testosterone|Тестостерон|Половой гормон у мужчин и женщин.|Уровни утром у мужчин выше.|M: <8 nmol/L;F:<0.5|M:8–30 nmol/L;F:0.5–2.5|M:>40 nmol/L|Низкий — снижение либидо, утомляемость.|Норма — репродуктивная функция.|Высокий — андрогения или опухоли.|Сдавать утром, натощак.|тестостерон,гормоны
prolactin|Пролактин|Гормон лактации; повышение мешает фертильности.|Высокие уровни приводят к аменорее и галакторее.|>25 ng/mL|<20 ng/mL|>200 ng/mL|Высокий — аденома гипофиза и др.|Норма — нормальная лактация.|Очень высокие — патологические причины.|Избегать стресса перед сдачей.|пролактин,гормоны
creatine_kinase|КК (CK)|Фермент повреждения мышц.|Повышение при миопатии, травмах.|<200 U/L|<200 U/L|>1000 U/L|Высокие — мышечное повреждение.|Норма — минимальные значения.|Очень высокие — рабдомиолиз.|Избегать нагрузки перед сдачей.|ck,мышцы
ammonia|Аммиак|Повышение при печёночной энцефалопатии.|Высокие значения указывают на печёночную недостаточность.|>100 µmol/L|<50 µmol/L|>200 µmol/L|Высокие — риск энцефалопатии.|Норма — низкие уровни.|Очень высокие — угроза нейротоксичности.|Отбор венозной крови, холодовой транспорт.|аммиак,печень
homocysteine|Гомоцистеин|Маркер риска ССЗ, связан с B-витаминами.|Повышенный — риск атеросклероза.|>15 µmol/L|5–15 µmol/L|>30 µmol/L|Высокий — повышение риска ССЗ.|Норма — низкий риск.|Очень высокий — выраженный риск ССЗ.|Натощак желательно.|homocysteine,сердце
ferritin_s|Ферритин (женщины)|Отдельный контроль запасов железа у женщин.|См. общую ферритиновую строку.|<15 µg/L|15–150 µg/L|>500 µg/L|Дефицит — анемия, усталость.|Норма — достаточные запасы.|Очень высокий — воспаление/перегрузка.|Не требует натощак.|ферритин,женщины
uric_acid|Мочевая кислота|Риск подагры при повышении.|Высокие уровни → отложения уратов.|>420 µmol/L|180–420 µmol/L|>600 µmol/L|Высокий — риск подагры и почечных камней.|Норма — метаболический баланс.|Очень высокий — риск кристаллических отложений.|Натощак предпочтителен.|мочевая_кислота,подагра
lp(a)|Липопротеин(a)|Независимый фактор риска ССЗ.|Высокие уровни повышают риск атеросклероза.|>50 mg/dL|<30 mg/dL|>100 mg/dL|Высокие — повышенный риск ССЗ.|Норма — низкий риск.|Очень высокий — высокий риск ранних ССЗ.|Не требует натощак.|lpa,сердце
aptt|APTT|Активированное частичное тромбопределение.|Оценивает внутренний путь свёртывания.|>45 s|25–40 s|<20 s|Удлинение — риск кровотечений.|Норма — адекватная коагуляция.|Снижение — тромбогенный статус.|Не прекращать антикоагулянты без врача.|aptt,коагуляция
vitamin_k|Витамин K|Важен для свертывания крови.|Дефицит — кровоточивость.|<0.1 µg/mL|0.1–1.0 µg/mL|>1.0 µg/mL|Дефицит — риск кровотечений.|Норма — достаточный коагуляционный резерв.|Высокие — редко клинически значимые.|Уточнять при проблемах свертывания.|vit_k,коагуляция
fibrinogen|Фибриноген|Коагуляционный белок; при воспалении растёт.|Высокие — тромбоз, воспаление.|>4.5 g/L|2.0–4.0 g/L|>6 g/L|Высокий — тромбоз/воспаление.|Норма — достаточный фибриноген.|Очень высокий — риск тромботических событий.|Не требует подготовки.|fibrinogen,коагуляция


